GPSLatitude;46.73484667;46.74223611
GPSLongitude;7.920864722;7.928436111
GPSPosition;46.7348466666667 7.92086472222222;46.7422361111111 7.92843611111111
ImageSize;5056x3792;11920x3456
Megapixels;19.172352;41.19552
ShutterSpeed;8.00E-04;6.00E-04
SubSecCreateDate;2017:10:14 12:23:24.899561+02:00;NA
SubSecDateTimeOriginal;2017:10:14 12:23:24.899561+02:00;NA
SubSecModifyDate;2017:10:14 12:23:24.899561+02:00;NA
ThumbnailImage;base64:/9j/2wCEAAYEBQYFBAYGBQYHBwYIChAKCgkJChQODwwQFxQYGBcUFhYaHSUfGhsjHBYWICwgIyYnKSopGR8tMC0oMCUoKSgBBwcHCggKEwoKEygaFhooKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKCgoKP/AABEIAHgAoAMBIQACEQEDEQH/xAGiAAABBQEBAQEBAQAAAAAAAAAAAQIDBAUGBwgJCgsQAAIBAwMCBAMFBQQEAAABfQECAwAEEQUSITFBBhNRYQcicRQygZGhCCNCscEVUtHwJDNicoIJChYXGBkaJSYnKCkqNDU2Nzg5OkNERUZHSElKU1RVVldYWVpjZGVmZ2hpanN0dXZ3eHl6g4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2drh4uPk5ebn6Onq8fLz9PX29/j5+gEAAwEBAQEBAQEBAQAAAAAAAAECAwQFBgcICQoLEQACAQIEBAMEBwUEBAABAncAAQIDEQQFITEGEkFRB2FxEyIygQgUQpGhscEJIzNS8BVictEKFiQ04SXxFxgZGiYnKCkqNTY3ODk6Q0RFRkdISUpTVFVWV1hZWmNkZWZnaGlqc3R1dnd4eXqCg4SFhoeIiYqSk5SVlpeYmZqio6Slpqeoqaqys7S1tre4ubrCw8TFxsfIycrS09TV1tfY2dri4+Tl5ufo6ery8/T19vf4+fr/2gAMAwEAAhEDEQA/APY4qsbWaNgjbWIwDjOK9yR8/E4rV0As5MNhxIuOe4PNcbfD5i2AM8j05rpih9DMmqk/WtYmchhH61DIOTQJEDr1qNhRctCEfLUluB56dxkAj1FTLYa3IZRve3CZCA4GegOTmqsmf7QGevm/1rBFz+Fm03So+tCPHuP6CoZTwQOQKHoOGrNu1JsdOWSaNi0pyuMfMf8A6/H+c1XtbtLKG5/cpJPOSVZj0OQcA9uPSvkasrzlLzPtaUeSnFeR71HVqKvqZHz0DjtWjEk16qrgq5YA8Z7/ANK4y6XdACB0yp9sE11R2GY83SqUh5rSJnIaTiopWBAx1HWixKIHOajwcH0oKQ0j5PxpYm2spPY1LKTGSRsksAJIDccdsmqgIfUFI6GTisI6lz+Fm0/SmL1oR4zYr9KZCR5oyrMCei4pT+FmlH40btz+8tiUcbA6ou8noOD0/H86y3HlTTyvKGy6pktkA4GcYPTn1718hH3k2fcpWdj6Bjq1F0r6yR8xEyfEEANxFMBg7OTjrg9681nztnH+3mtqTui2Y0oxuxyAcVnucGt4mUxp5qFhTJRC3ekHCnnqKllIa33Dj1ppHApMaJLhtzxY5yg/Rcf41nWwxdxA9mrCGhpU+Fm09NXOaaPFe42Q0kOfNQKN0jfdHaoq/AzbD/xFY3BiW4SFSWAQfMMYHOSfr6VkeIbnyjAoRgA+Qqtx0zzn2Wvk6as0j7ds+hI6tRV9VI+ZiUdeYNGkO75trMR9eB/WvLJV2PIhGOc1tRWhbKFzHkjoNwFZUw5zW0TOaIyMCompkkDdabkY5oY0DqUjwwwc5qPsBUXurjtbQsuFjs2cBjPGWiz2weefzP5VkQN/pcZY5+cc+tc9PqbVPhsbZ5GaULtXmrR4fUgkNWbKFPMSRJAdh388Ej/6xzn6isMU7U2deCinVR0SW8VusyhSDHGGfsBlsDH51y9zi5li8qNmQSqJRv8Au7jwTj23d+K+YjufYn0PHVmKvqpHzUSvf6ctwrTIzLMikgZyD7Yryy6O+cbk2MOcev8AnmroSvdGjWlzOuU+RWHQZH6n/wCtWZMBu4reJE9BkgBwFHaqjjrVIhkDVHQJEkh3Rlm68Y/z+FRggRliASMde3X/AOtWdtLGl7u4txKws7uIHgMrEevqf5VjgneCOuRis4K1y5vQ6SJd3PYUspoPEKrNg5wD7GrenW7yWt3sBz5ZPX7o45/Q1yY98tBnoZXHmxCOnlsLu30y7uJWDSXdvG8Sr1hVTubOflzx3/pWAEtUnvBZN56kBhJxgq2CCTjqAcY9jXzzVkfWJ6nu0R4q1Ea+okfNRJpTi2lOTwhPH0rxu7R5ZpGRW2gk5PYUUXa7N7cysQ3ShbdOedoP1yf/AK1Y8/3s10U3dEVVqQ9eDxmq8gyc1oZFd+tRkce1ISCRNqZ3celIhVdpZdwDDI9RUN3RdrCTFPtc7NxG3PAzwTx+FUvs7C7WMc5YEN7dc/lWMXZjqu0WzoEG2OoJT1q0ePYqvz0rr/AEETfaTLsc5C7GOOTznHfgHj8648er0bHo5U7Vyn8U9dNsP7Hs5Y2Migy452KDwv1bqfQAVyHgzMWi6jCz+SMnytvJxgsf5jivEqRtC59LGXvH0rEatxGvo5nz8Sh4ruBBoM481o3kIRSvUnrj8ga8yllk2PFuBDADI7+lVSXus1T1K1+4WLYuTsIUN9BWZdoY1jz/ABIG/U1pT0+YVVdvyKpPFR4JDHGQOtaN2MVqRFQc8VEU27iPSpbKSHzQsLTzMgLvxyeTxmqu1pFVEBZ2faAOp6cVlGd7lSViylrI92LedSknlGJlYYKsvb9M0aRbS3izm1iNxNFGzkR8sQBk/wA65nVSTfzKnSlJKPfQ1tGspNRDMwaGGOF55GdT8qqMkVx8niWBXC3Mfkx+ZjzcZ+Q5xkDv07/41jUxD5vd6BhsCvZy5927HQjTJ5bOe7gKyWyMVR8geaAcZUfl+daGqWJtfBRu9NmD3Cst2JVGCpGMgemBkfnWWIxSqRUUa4LAOhNzZ5FeapJqN5K6RrAzNkshOB64z69etaGhwyWt6kUqNi4/5aA8sfUEA5/Cuesk6b9DthJ8x9bRGrcRr25njxOf1oz3qyQXITYHOEU/dx0OfWuGuSVkUZXKvt/WrgvdsjVOzKN7IrzyHIK7yBjpis+8k3sp5wFC/TFOmtgqSu2QR4AYt0Cn+VOBEenysy5MrhUP06mie5MUUifMfb6965bxD4qWxmMFgI5ZF++zcqOO3PNYYmr7NWW5tQp87uy/p86xQFJZnvbtZD5jA4Ge4Udh7+34Vb0rV4rbVoJbuJl8mVJSFIYEbuh9OQfauJV+WLijrdC8uZml4w8UE69caxo1wzI1uqjev+rbaFfjseK4PTNe1DRr2WTTrt7e4UM6FTgE4x+PHauaCaVmbS1dxLrUtRhnuWt7ydHaNWKo5GQ3JXHp7VR1MibT3LL8pwfpSiUy7oN4PImil3eX8uxh2OOo9PWtKPxlfwWL2kscc1ruIYAshz0OCOmevQ804002yXNpHOxpGWIRNquxbbuzjJ6Zrb0SGS1mScxEMh2gsMKvUHP60sS0qbRNJXkfVcRq3Ea9uZ40Rt/aJcQO4GJlXII7+xrza5hS7vLmO3DbmPygkZyMkmlSlua2MK+2xSNCpysfG49Sf8KzZTkAZ/CtaewVPiY0qFi+Zh9Ac8Ut5lIYYiMHG/Gc9cf0xUyd5JAlZNmZe28d3ay2824I4wxRyD+YrGt/C+lWciyKkk8gbcolfIHpwMZ/Gs6lFTlzM0hVcYtI0WslN9JJG4QTMRwP4u5/P+dUY9PkkugwZCzfJtPT2rjlhmm5I6liVazK2oWFxZRX1jdxOt2JCPL7+vH5Vh6lYXMNqs88DBBncScHkcfrXOot3sayqRilcs29jc3AuplhZjLGBERwM7QP6UzUNLvbfTDNLDIsRZYtw5Ab0PpRCjLlUjOWKhzun1I7VJLSxPmxFGPOCOnp+lH2J2tlSNJZZWIwsSFmdj2AHWnbku2NTU1ZGdEWhi2yIc5Of4T+RroNBdLiIyyqTFkhx94rxxwcj8cVy412gbYdan1TEauRGvoJniItxEY55HevJrq6c6q1w4UbZD2wMf44qKS3Nk9jC1Iq07ypwkjEgH171mzZC57HjNbw0VhT1dxqjDR8g5OcUmp3JuLqSRgATgYHak1eSYr2i0UHb8KYzE9T0HFaMzQ7OyQL02NnINROdqMS2HDY4P1rE0fYupdzavdquoO9w/keWGJw2FJI5x7nnrzRvZJMgKGR+OMgEHjiuZJKbiiMTJumpdbldEWIyCMBY2kZ1QdEBOdo9hU6ykQyxg/JKux1PRhnODW8YJR5TzJ1W5ufUrTBXzuVWzwcjNdJ8PIIv7RuljiVk8n5gwBB59O+Otc+MivZNnVl9SXt4xucf4l8GyTeIr220SNvJWFJ1EpwMsW+QH0GOv4VzOls2k6jLFqKzQbE2NGx/izyMdPx9q8er+8ptH0sFySPrWI81biNfRTPBRcjbCk+grybUFEc1zFOuyXzG4P8JHapofE0ate7cwJ5SpZTjA7e9Zt1LvcsxyTz7CtlHW4pS0sLbATSRRbc5bJPfFV7ifzJpHwACenpSS94L+6VmPHFRE8VTJSEVuSTzxUjMoWdXALKuVP1I/xrKfkUtxulMf7RiwSDgjI+lXJ+JCP4up4459P1rB/xfkKur0G/MhJoBrc8YYx61LpeqT6Vdi5tmww6jGQR6YqKsVKDTNKEnCopLoaGuf2pqdvJPpl3JbySLvG0BQOfu468H+teca9d6pNZ/ZNTjgluIWz9rwRLsAIKNjtnufz5r5eNa0nBn2jheKkj6yjNW4jX1kz52Il/K0Qt337IQ/7xj0A9/wBa878Tndq11L91pXLlc55zU0l71zZv3LHJ34O8tyMis125roRmx1vN5UqydduePwqvN8rsO2aVrO4X0sQluvNMLA0mNBnANNldQ0o4O4D/ABrN6hEj085vV4yMH+VaEk3mXDrnlVXP45/wFZSXv3Jry/duP9bjSeKah6mtDyBGNQFguc1Mtiqe9zb0+6/4lMg2hpIgcHoSe3Nc/rkMtx5k1sIxHMGWZW9uCTjk8dK+RxK5MQz7bCS56EfQ+iojVuFq+ymfOIwtbvGlvAmTGkJwN36muSvn867ZwThskH86uC0NG9DD1XBg387g20jHFYMrYzmnEJdCMvgcUyWbd1qmhIhdjgEjg9KYG5qGMUSc884qXVEVXj+ZA2wZCjAHpWMvjRUVoynYPi7Iz1Vh+laRAEjP3YAH8M/40ra3OXFSskhGOaUYC1SPOInPFVpDUNlwRe0S4UXDQTMSkmOM4GQfWnXVvbCea1R4kkCmXbz/ABHGSc47H86+ZzOFqvN3Pq8rqXocvY93iNWoWr6yZ4qMrxRYedB9oQsCMb8d+wNcPc5DrtwSVanTehoZk0ZkR4G+Vm5A9CPWuflwJNrj1HPY1SerQ2tCCUgA7QQOOtV2aqBDGbK9+DxTS2FxUMYzfzUtyxzGzNktGDj26VnLdFrZlOB9lxGwP8QraJxSZwYtaobnJpzcCkcJA561WcjnOfpUM2iiNZinKj5sjAxxV2SZJ7hXklwYVYuACWbjt6dfzxXj5lS5437Ht5XU5Xy9z3yNqtRGvoJHEi4mGQqQGBHQ9DXl2ufJds6BUjcErt6fT+dZ092a9DFDFZlPfdWRqRVruUMuOuMeta/aGvhMpmwMGoWfmrEhm75eOvems+c81DGhgepr/KNGpxkIOnvWL+JGi2KanDD2IrdJpyODFboE+9SyHg0jiSKzGqsp61kzZFcuVJIJBxwQa0dFCuZNgG4LySeg7j8fWvPx38GTPTwH8aKP/9k=;NA
FocalLength35efl;4.4;NA
LightValue;13.60964047;NA
